name,type,twitter,category,primary_url,notes,last_seen,confidence,layer,job_one_liner,summary,about,status,related,risks,sources
ArrowPad,launchpad,@RobinArrowPad,launchpad,,Small launchpad,2026-07-16,low,launchpad,Token launch rail,Token launch rail,"Small launchpad|Landscape role: Token launch rail. Permissionless token launch rail — useful for understanding deploy volume, not as investment advice.|Hoodscape is orientation only — verify primary docs, contracts, and eligibility before interacting. NFA.",community,"NOXA Fun,Pons,Flap",Launch rails concentrate contract and approval risk; verify before interacting.,
Virtuals,agent,@virtuals_io,agent,,Agent launch platform cited in eco maps,2026-07-16,medium,agents,Agent launch platform,Agent launch platform frequently cited in RH Chain agentic / AI layer maps.,Agents are a core official narrative (“AI-native” chain). Virtuals-class platforms are where much of the agent token surface appears.|Agent volume is not the same as RWA product-market fit.,live,"RobiNode,Robinhood Crypto,NOXA Fun",Agent tokens are often highly speculative; treat as noise/attention unless proven utility.,
RobiNode,builder,@robinodexyz,agent,,Stock-token routing; listed≠liquid,2026-07-16,medium,agents,Agent layer for RWA routes,Builder focusing on agent routing for tokenized stocks — “listed ≠ liquid” in practice.,Useful peer example: multi-protocol routing with sellability checks for stock tokens.|Highlights that brochure listings and actual fillable routes are different products.,community,"Stock Tokens (official),Virtuals,Uniswap",Early builder software; verify before using with size.,
SLVR,noise,@S_L_V_R_FUN,gamified,,Gamified mining; fee print on Llama,2026-07-16,low,noise,Gamified / attention app,Gamified / attention app,"Gamified mining; fee print on Llama|Landscape role: Gamified / attention app. Attention / meme / gamified sample in the early landscape — not complete long-tail coverage.|Hoodscape is orientation only — verify primary docs, contracts, and eligibility before interacting. NFA.",sample only,"Cash Cat,NOXA Fun,HOODZ",Highly speculative attention asset; not a research endorsement.,
Cash Cat,noise,@cashcat_token,meme,,High-visibility native meme,2026-07-16,low,noise,Native meme (attention layer),High-visibility native meme on RH Chain — attention layer sample.,Memes prove distribution and low-friction trading; they do not prove stock-token PMF.|Included so the map shows the volume composition story honestly.,sample only,"NOXA Fun,SLVR,Uniswap",Extreme speculation; can go to zero. Not a recommendation.,
HOODZ,noise,@HOODZRH,gaming,,Gaming project small TVL,2026-07-16,low,noise,Gaming / attention,Gaming / attention,"Gaming project small TVL|Landscape role: Gaming / attention. Attention / meme / gamified sample in the early landscape — not complete long-tail coverage.|Hoodscape is orientation only — verify primary docs, contracts, and eligibility before interacting. NFA.",sample only,"Cash Cat,SLVR,NOXA Fun",Highly speculative attention asset; not a research endorsement.,
News For Robinhood,media,@NewsForRH,data,,Independent RH intel / wallet clusters,2026-07-16,medium,media,Independent ecosystem intel,Independent ecosystem intel,"Independent RH intel / wallet clusters|Landscape role: Independent ecosystem intel. Research or data voice useful for orientation (usually secondary unless primary-sourced).|Hoodscape is orientation only — verify primary docs, contracts, and eligibility before interacting. NFA.",sample only,"The DeFi Edge,Tom Wan,DefiLlama RH Chain",Secondary commentary can be wrong or late — prefer primary sources.,
The DeFi Edge,media,@thedefiedge,data,,Research; memes vs RWA fork framing,2026-07-16,high,media,DeFi research / curation,Mid-tier research/curation account that framed RH’s memes-vs-RWA fork clearly.,Useful for secondary landscape framing and reading lists.|Still secondary to official docs and onchain data.,sample only,"Tom Wan,Jon Ma,DefiLlama RH Chain",Editorial takes can be incomplete — verify numbers.,
Tom Wan,media,@tomwanhh,data,,Entropy Advisors; launchpad deploy ranks,2026-07-16,high,media,Onchain data research,Onchain data research,"Entropy Advisors; launchpad deploy ranks|Landscape role: Onchain data research. Research or data voice useful for orientation (usually secondary unless primary-sourced).|Hoodscape is orientation only — verify primary docs, contracts, and eligibility before interacting. NFA.",sample only,"The DeFi Edge,DefiLlama RH Chain,Jon Ma",Secondary commentary can be wrong or late — prefer primary sources.,
Jon Ma,media,@jonbma,data,,Artemis; product thesis letters,2026-07-16,high,media,Macro / product research,Macro / product research,"Artemis; product thesis letters|Landscape role: Macro / product research. Research or data voice useful for orientation (usually secondary unless primary-sourced).|Hoodscape is orientation only — verify primary docs, contracts, and eligibility before interacting. NFA.",sample only,"The DeFi Edge,Tom Wan,DefiLlama RH Chain",Secondary commentary can be wrong or late — prefer primary sources.,
Eli5DeFi,media,@Eli5defi,data,,Visual explainers; RWA+meme barbell,2026-07-16,medium,media,Visual research explainers,Visual research explainers,"Visual explainers; RWA+meme barbell|Landscape role: Visual research explainers. Research or data voice useful for orientation (usually secondary unless primary-sourced).|Hoodscape is orientation only — verify primary docs, contracts, and eligibility before interacting. NFA.",sample only,"The DeFi Edge,Tom Wan,DefiLlama RH Chain",Secondary commentary can be wrong or late — prefer primary sources.,
DefiLlama RH Chain,media,,data,https://defillama.com/chain/robinhood-chain,Primary public metrics (chainId 4663),2026-07-16,high,media,TVL / volume / fees dashboard,TVL / volume / fees dashboard,"Primary public metrics (chainId 4663)|Landscape role: TVL / volume / fees dashboard. Research or data voice useful for orientation (usually secondary unless primary-sourced).|Hoodscape is orientation only — verify primary docs, contracts, and eligibility before interacting. NFA.",sample only,"The DeFi Edge,Tom Wan,Jon Ma",Secondary commentary can be wrong or late — prefer primary sources.,https://defillama.com/chain/robinhood-chain|Primary
